City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,dryden,-92.7503,49.7833,292.31,68,75,3.09,CA,1691491850
84,minas de marcona,-75.1103,-15.2119,286.4,84,10,4.99,PE,1691493638
85,whitehorse,-135.0538,60.7161,289.58,72,75,5.66,CA,1691499208
86,kapa'a,-159.319,22.0752,309.14,75,100,8.75,US,1691511138
87,teyateyaneng,27.7489,-29.1472,280.96,36,0,1.96,LS,1691556440
88,linfen,111.5189,36.0889,300.22,61,15,1.78,CN,1691531210
89,kodiak,-152.4072,57.79,285.88,94,100,2.06,US,1691504329
90,dois vizinhos,-53.0572,-25.7336,287.52,95,100,3.17,BR,1691489174
91,sinabang,96.3801,2.4803,298.69,83,96,0.85,ID,1691537629
92,hongwon,127.9558,40.0253,296.06,86,94,1.9,KP,1691526796
93,lihue,-159.3672,21.9789,308.73,68,100,8.75,US,1691511157
94,olonkinbyen,-8.7187,70.9221,277.62,93,100,8.84,SJ,1691548672
95,coquimbo,-71.3436,-29.9533,288.0,82,0,1.03,CL,1691493931
96,vorkuta,64.0,67.5,282.15,72,100,3.68,RU,1691534498
97,belmonte,-38.8828,-15.8631,295.79,83,2,3.1,BR,1691484995
98,aasiaat,-52.8699,68.7098,276.27,73,69,1.24,GL,1691474987
99,polyarnyy,33.4478,69.1989,289.06,80,0,4.69,RU,1691540456
100,la mira,-102.3266,18.035,304.08,75,3,5.0,MX,1691497782
101,hithadhoo,73.0833,-0.6,300.47,76,86,2.39,MV,1691543432
102,ulsteinvik,5.8487,62.3432,287.46,93,100,4.02,NO,1691551263
103,bjuv,12.9191,56.0837,285.84,95,20,4.63,SE,1691551585
104,ushuaia,-68.3,-54.8,272.48,94,75,2.35,AR,1691496568
105,valdivia,-73.2459,-39.8142,283.2,87,100,1.02,CL,1691495400
106,campo verde,-54.0667,-20.4167,297.88,37,10,1.46,BR,1691488984
107,ispir,40.9956,40.4829,295.26,56,1,2.58,TR,1691547622
108,estevan,-102.9842,49.1334,300.26,34,75,8.23,CA,1691494428
109,iqaluit,-68.5145,63.7506,278.54,81,88,5.36,CA,1691481951
110,wailua homesteads,-159.378,22.0669,308.39,75,100,8.75,US,1691511153
111,ancud,-73.8203,-41.8697,283.18,98,100,4.66,CL,1691495786
112,howard springs,131.047,-12.497,298.61,41,50,5.13,AU,1691530352
113,fisterra,-9.2629,42.9049,292.45,90,0,5.44,ES,1691559372
114,puerto baquerizo moreno,-89.6,-0.9,296.66,77,100,5.34,EC,1691496101
115,kalabo,22.6814,-14.97,287.9,43,4,2.09,ZM,1691556531
116,lata,-8.3327,40.1629,294.22,88,0,0.66,PT,1691559509
117,lazaro cardenas,-102.2,17.9583,304.11,75,3,5.39,MX,1691497758
118,naze,129.4833,28.3667,298.66,88,100,11.29,JP,1691527680
119,basciftlik,37.1692,40.5469,289.46,90,87,2.19,TR,1691548533
120,vallenar,-70.7581,-28.5708,291.37,51,91,0.63,CL,1691493666
121,hamilton,-84.5333,39.1834,299.39,63,20,4.63,US,1691491475
122,nantucket,-70.0995,41.2835,296.48,75,0,6.69,US,1691487739
123,badger,-147.5333,64.8,291.21,85,100,2.06,US,1691500432
124,prince rupert,-130.3201,54.3161,288.2,94,100,1.54,CA,1691499930
125,sabha,14.4283,27.0377,300.72,30,0,4.91,LY,1691555425
126,east london,27.9116,-33.0153,290.44,79,100,4.37,ZA,1691556758
127,berezovyy,135.7,51.6667,292.09,63,99,3.02,RU,1691523090
128,akoupe,-3.9003,6.39,295.64,95,97,2.26,CI,1691561424
129,palmer,-72.3287,42.1584,295.38,82,75,5.66,US,1691488157
130,vilyuchinsk,158.4028,52.9306,291.3,55,50,1.29,RU,1691517370
131,ribeira grande,-28.7,38.5167,297.47,94,100,8.94,PT,1691564602
132,pacific grove,-121.9166,36.6177,296.14,80,40,4.12,US,1691500757
133,mount gambier,140.7667,-37.8333,284.26,56,0,5.94,AU,1691530186
134,kasongo-lunda,16.8167,-6.4667,296.68,36,19,0.74,CD,1691557338
135,kavaratti,72.642,10.5669,301.03,75,100,8.29,IN,1691542757
136,as sulayyil,45.5779,20.4607,306.07,10,7,2.67,SA,1691548504
137,tiksi,128.8694,71.6872,290.23,48,9,1.78,RU,1691514255
138,chibougamau,-74.3659,49.9168,284.94,100,100,3.09,CA,1691487409
139,sirpur,79.6,19.4833,297.78,83,100,1.48,IN,1691540415
140,cutlerville,-85.6636,42.8409,297.85,78,75,4.63,US,1691491266
141,san juan de los morros,-67.3538,9.9115,296.26,94,57,0.07,VE,1691489999
142,holualoa,-155.9522,19.6228,302.06,69,20,6.69,US,1691510529
143,gadzhiyevo,33.3362,69.2551,289.17,79,0,4.68,RU,1691540430
144,canutama,-64.3831,-6.5339,300.54,61,58,0.02,BR,1691490442
145,marksville,-92.0662,31.128,310.4,33,42,2.91,US,1691494173
146,margaret river,115.0667,-33.95,284.8,63,6,2.23,AU,1691535946
147,balkanabat,54.3671,39.5108,304.21,21,0,0.95,TM,1691544533
148,thompson,-97.8558,55.7435,288.24,77,100,8.23,CA,1691491778
149,iskateley,53.1512,67.6803,282.89,74,67,1.31,RU,1691536978
150,salinopolis,-47.3561,-0.6136,299.31,85,83,5.55,BR,1691485943
151,katsuura,140.3,35.1333,303.16,89,100,6.16,JP,1691524404
152,al jawf,38.75,29.5,299.68,24,0,3.03,SA,1691549359
153,kudahuvadhoo,72.8944,2.6708,300.01,78,97,2.45,MV,1691543252
154,haiku-pauwela,-156.3051,20.9219,303.43,56,20,11.32,US,1691510509
155,amursk,136.8994,50.2261,289.96,70,99,6.07,RU,1691523083
156,mega,38.3,4.05,288.05,76,91,8.05,ET,1691551459
157,uturoa,-151.4333,-16.7333,298.53,83,96,4.73,PF,1691512063
158,vredendal,18.5012,-31.6683,285.8,68,0,3.09,ZA,1691558888
159,sol'-iletsk,54.9918,51.1631,290.41,71,0,3.94,RU,1691542581
160,bomdila,92.4,27.25,288.49,96,100,1.12,IN,1691536686
161,tadjourah,42.5,12.0,304.34,43,83,3.39,DJ,1691549888
162,ceeldheer,47.1806,3.8488,297.17,86,80,8.84,SO,1691549341
163,labrador city,-66.9114,52.9463,289.1,59,100,4.12,CA,1691485004
164,tadine,167.8833,-21.55,293.5,51,86,4.99,NC,1691522192
165,taoudenni,-3.9836,22.6783,311.81,10,0,6.48,ML,1691560221
166,atafu village,-172.5159,-8.5421,301.68,72,88,5.89,TK,1691602912
167,lib,167.3766,8.3122,301.2,79,76,6.22,MH,1691520180
168,ilulissat,-51.1,69.2167,282.16,71,75,0.0,GL,1691474085
169,kone,164.8658,-21.0595,295.86,45,4,4.0,NC,1691522877
170,ashkasham,71.5333,36.6833,284.03,57,0,1.06,AF,1691540745
171,chonchi,-73.8092,-42.6128,283.22,99,100,2.13,CL,1691495877
172,al jahra',47.6581,29.3375,311.83,14,0,5.06,KW,1691547235
173,tulun,100.5792,54.5611,289.26,93,100,0.11,RU,1691530895
174,palora,-77.9333,-1.7,291.63,96,81,0.91,EC,1691493357
175,khandyga,135.6,62.6667,292.44,48,68,0.56,RU,1691519927
176,port macquarie,152.9167,-31.4333,290.87,59,2,1.81,AU,1691526626
177,boende,20.8667,-0.2167,294.88,94,28,0.48,CD,1691555936
178,laurel,-76.8483,39.0993,301.69,60,0,4.12,US,1691489640
179,sheridan,-106.9173,44.8333,292.29,80,100,3.09,US,1691496081
180,san juan del rio,-100.0,20.3833,300.11,37,28,0.76,MX,1691497037
181,okha,142.9478,53.5739,289.02,83,71,6.08,RU,1691520941
182,kangding,101.9603,30.0513,290.83,86,72,0.34,CN,1691534129
183,tamale,-0.8393,9.4008,296.85,93,100,2.59,GH,1691560477
184,safi,-8.8333,32.1667,296.53,71,71,1.64,MA,1691560524
185,port alfred,26.891,-33.5906,287.69,97,91,4.37,ZA,1691557059
186,dhupgari,89.0145,26.5858,298.1,96,100,3.93,IN,1691537558
187,bakchar,82.0711,57.0186,286.72,83,52,1.06,RU,1691534716
188,bishkul,69.1033,54.7803,291.52,54,100,2.91,KZ,1691538406
189,cill airne,-9.5167,52.05,288.97,98,96,1.37,IE,1691557902
190,rongelap,166.8941,11.1635,301.5,76,59,5.95,MH,1691520091
191,deschutes river woods,-121.3584,43.9915,304.5,26,0,3.6,US,1691499675
192,isafjordur,-23.124,66.0755,283.46,62,30,1.65,IS,1691556398
193,punta arenas,-70.9167,-53.15,274.28,85,84,2.5,CL,1691496852
194,constantia,28.65,44.1833,288.54,71,27,3.75,RO,1691550085
195,dabat,37.765,12.9842,283.81,91,50,1.44,ET,1691550952
196,fortuna,-124.1573,40.5982,291.68,77,20,6.17,US,1691500812
197,ravar,56.8055,31.2656,301.11,21,17,3.59,IR,1691544853
198,grand baie,57.5802,-20.0182,293.96,73,2,0.45,MU,1691548535
199,columbia falls,-114.1815,48.3725,298.78,49,0,4.12,US,1691497253
200,imbituba,-48.6703,-28.24,291.96,73,100,2.59,BR,1691488338
201,hammerfest,23.6821,70.6634,296.4,73,32,2.06,NO,1691541202
202,bikenibeu village,173.1241,1.3673,301.51,72,94,3.08,KI,1691519288
203,new norfolk,147.0587,-42.7826,283.1,66,58,1.66,AU,1691529261
204,hell-ville,48.2667,-13.4,297.45,69,22,1.24,MG,1691550279
205,chaman,66.4512,30.9236,299.14,16,0,2.02,PK,1691542571
206,colonia,6.95,50.9333,289.24,90,75,2.57,DE,1691554168
207,mangrol,70.1167,21.1167,300.07,84,100,7.38,IN,1691542560
208,hotan,79.9269,37.0997,297.61,41,30,2.42,CN,1691538682
209,happy valley-goose bay,-60.3315,53.3168,285.66,81,86,1.19,CA,1691483341
210,palangkaraya,113.8333,-2.2,297.56,76,52,1.54,ID,1691533763
211,zhicheng,111.5047,30.2956,300.77,80,13,1.25,CN,1691531814
212,caohe,115.4335,30.2297,300.79,83,16,0.81,CN,1691530877
213,phrae,100.0,18.0833,294.73,99,100,1.24,TH,1691535628
214,belyy yar,91.3903,53.6039,290.09,88,0,0.0,RU,1691533323
215,aginskoye,114.53,51.1,294.15,48,28,0.91,RU,1691528289
216,greymouth,171.2,-42.4667,282.08,66,68,1.94,NZ,1691523432
217,auki,160.7034,-8.7676,300.45,76,95,1.92,SB,1691522972
218,orenburg,55.0988,51.7727,288.18,79,0,3.78,RU,1691542434
219,fort st. john,-120.8529,56.2499,294.09,56,75,5.14,CA,1691497173
220,ust'-kulom,53.6902,61.6864,284.78,82,50,1.66,RU,1691540020
221,argo,22.7333,37.6333,300.25,65,57,2.44,GR,1691552355
222,hobyo,48.5268,5.3505,297.37,85,65,10.45,SO,1691548914
223,bredasdorp,20.0403,-34.5322,282.3,89,0,1.87,ZA,1691558795
224,crane,-102.3501,31.3974,312.38,19,83,4.47,US,1691496616
225,al 'amarah,47.1396,31.8406,308.89,20,0,3.73,IQ,1691547117
226,ilhabela,-45.3581,-23.7781,292.99,93,100,4.34,BR,1691487164
227,gogrial,28.1004,8.5332,294.43,95,100,1.07,SS,1691553593
228,chui,-53.4616,-33.6971,284.24,77,83,3.58,UY,1691489998
229,susuman,148.1667,62.7833,282.38,52,88,0.46,RU,1691516855
230,omis,16.6886,43.4447,295.11,58,47,2.59,HR,1691553063
231,afaahiti,-149.2833,-17.75,296.08,86,95,7.82,PF,1691511623
232,mariehamn,19.9348,60.0973,288.07,88,20,8.75,AX,1691548712
233,veracruz,-96.6667,19.3333,300.47,84,26,1.68,MX,1691496321
234,sharan,54.0,54.8167,287.45,96,0,3.0,RU,1691542027
235,pimentel,-79.9342,-6.8367,296.31,73,0,6.69,PE,1691494195
236,point pedro,80.2333,9.8167,300.44,83,100,6.53,LK,1691540988
237,andergrove,149.1833,-21.0833,295.73,75,32,7.43,AU,1691526641
238,balqash,74.995,46.8481,294.87,66,60,1.26,KZ,1691538544
239,cherryville,-6.9667,53.1569,288.66,90,57,1.43,IE,1691557056
240,mogocha,119.7667,53.7333,293.89,49,71,0.75,RU,1691526476
241,severo-yeniseyskiy,93.0408,60.3725,285.31,94,36,1.58,RU,1691531042
242,imperia,7.7833,43.9667,290.99,74,84,2.21,IT,1691555128
243,tulagi,160.1476,-9.0996,299.92,78,94,5.83,SB,1691523129
244,firmat,-61.4832,-33.4594,282.54,58,100,3.55,AR,1691491898
245,antsiranana,49.2917,-12.2787,294.65,82,8,5.08,MG,1691549953
246,sur,59.5289,22.5667,303.19,60,6,4.57,OM,1691544983
247,keflavik,-22.5624,64.0049,284.39,93,0,3.09,IS,1691557364
248,itacarambi,-44.0919,-15.1022,298.09,35,0,0.61,BR,1691486188
249,flying fish cove,105.6791,-10.4217,297.97,83,100,6.17,CX,1691536291
250,iquitos,-73.2472,-3.7481,296.17,88,75,0.0,PE,1691492375
251,beloyarskiy,66.6722,63.7119,286.43,77,99,2.7,RU,1691536039
252,castiglione del lago,12.0453,43.1271,291.69,72,47,0.54,IT,1691554223
253,lautoka,177.4667,-17.6167,300.62,61,34,1.26,FJ,1691519590
254,bilibino,166.4372,68.0546,278.05,68,100,2.86,RU,1691509418
255,west richland,-119.3614,46.3043,307.81,24,0,2.57,US,1691498842
256,hakha,93.6167,22.65,289.83,98,100,1.09,MM,1691536793
257,belgern,13.1333,51.4833,287.09,82,87,4.25,DE,1691552575
258,brisas de zicatela,-97.0419,15.8369,304.44,58,40,2.06,MX,1691496684
259,asikkala,25.5,61.2167,286.52,87,6,4.01,FI,1691546976
260,san luis de la loma,-100.8939,17.2706,303.49,78,30,3.62,MX,1691497498
261,le port,55.2919,-20.9373,294.13,85,5,2.28,RE,1691549155
262,tangalle,80.7911,6.024,298.07,89,100,4.25,LK,1691541123
263,namsos,11.4957,64.4662,290.18,63,44,10.29,NO,1691548947
264,aswan,32.907,24.0934,307.51,17,1,3.79,EG,1691551246
265,dhidhdhoo,73.1,6.8833,300.9,79,100,6.27,MV,1691542909
266,antofagasta,-70.4,-23.65,289.75,81,30,3.32,CL,1691493161
267,al bayda',21.7551,32.7627,292.95,82,2,5.62,LY,1691553119
268,magadi,77.2333,12.9667,294.24,90,100,3.33,IN,1691541480
269,shijiang,110.7933,27.0819,299.62,89,69,0.44,CN,1691532285
